            table_name             | seq_scan | seq_tup_read | idx_scan | idx_tup_fetch | n_live_tup 
-----------------------------------+----------+--------------+----------+---------------+------------
 hockeyapp_timeline                |        4 |       648468 |        1 |            29 |          0
 django_content_type               |     7476 |       456036 |     1176 |          1176 |          0
 django_migrations                 |     3276 |       412776 |        0 |             0 |          0
 addresses_address                 |     1095 |       155490 |        0 |             0 |          0
 hockeyapp_schedule                |        8 |       143952 |     2098 |        314295 |          0
 auth_permission                   |      588 |       108192 |      588 |             0 |          0
 hockeyapp_player                  |        4 |        44860 |     3479 |          1209 |          0
 addresses_country                 |      987 |        25662 |        2 |             2 |          0
 hockeyapp_club                    |        9 |         3006 |     2164 |          7493 |          0
 base_season                       |       36 |          756 |       58 |            58 |          0
 hockeyapp_league                  |       60 |          480 |      112 |           104 |          0
 django_site                       |       84 |           84 |        0 |             0 |          0
 auth_group_permissions            |        0 |            0 |        0 |             0 |          0
 hockeyapp_challenge               |        0 |            0 |        0 |             0 |          0
 hockeyapp_name                    |        0 |            0 |        0 |             0 |          0
 accounts_user_user_permissions    |        0 |            0 |        0 |             0 |          0
 hockeyapp_arenainstaphoto         |        0 |            0 |        0 |             0 |          0
 hockeyapp_coach                   |        0 |            0 |     1104 |          1104 |          0
 hockeyapp_match                   |        0 |            0 |    72056 |         77386 |          0
 accounts_user_clubs               |        0 |            0 |        0 |             0 |          0
 hockeyapp_addressclub             |        0 |            0 |        0 |             0 |          0
 hockeyapp_club_players            |        0 |            0 |        6 |             4 |          0
 hockeyapp_match_home_players      |        0 |            0 |        0 |             0 |          0
 hockeyapp_match_judges            |        0 |            0 |        0 |             0 |          0
 django_select2_keymap             |        0 |            0 |        0 |             0 |          0
 hockeyapp_advancedplayerstats     |        0 |            0 |     6142 |          3100 |          0
 hockeyapp_matchgoalhistory_assist |        0 |            0 |        0 |             0 |          0
 accounts_user_groups              |        0 |            0 |        0 |             0 |          0
 filer_clipboarditem               |        0 |            0 |        0 |             0 |          0
 hockeyapp_judge                   |        0 |            0 |        0 |             0 |          0
 hockeyapp_match_guest_players     |        0 |            0 |        0 |             0 |          0
 filer_image                       |        0 |            0 |     2273 |          2273 |          0
 hockeyapp_clubsocial              |        0 |            0 |        0 |             0 |          0
 hockeyapp_club_coaches            |        0 |            0 |        2 |             0 |          0
 base_instagramimagefile           |        0 |            0 |        0 |             0 |          0
 social_auth_usersocialauth        |        0 |            0 |        0 |             0 |          0
 hockeyapp_relatedplayer           |        0 |            0 |        0 |             0 |          0
 addresses_city                    |        0 |            0 |        0 |             0 |          0
 hockeyapp_arenainstaphoto_players |        0 |            0 |        0 |             0 |          0
 hockeyapp_playercoachjudge        |        0 |            0 |        0 |             0 |          0
 registration_registrationprofile  |        0 |            0 |        0 |             0 |          0
 base_instagramuser                |        0 |            0 |        0 |             0 |          0
 accounts_user_countries           |        0 |            0 |        0 |             0 |          0
 addresses_district                |        0 |            0 |        0 |             0 |          0
 hockeyapp_coachclub               |        0 |            0 |       12 |            52 |          0
 base_socialnetvalue               |        0 |            0 |        0 |             0 |          0
 filer_clipboard                   |        0 |            0 |        0 |             0 |          0
 hockeyapp_addressclubphotos       |        0 |            0 |        0 |             0 |          0
 hockeyapp_clubtitlealias          |        0 |            0 |        0 |             0 |          0
 hockeyapp_coachsocial             |        0 |            0 |        0 |             0 |          0
(50 rows)

